series,timestamp,value,label
6A,2024-04-10T00:00:00Z,24.74,
6A,2024-04-10T00:00:15Z,24.78,
6A,2024-04-10T00:00:30Z,24.25,
6A,2024-04-10T00:00:45Z,24.83,
6A,2024-04-10T00:01:00Z,24.8,
6A,2024-04-10T00:01:15Z,24.8,
6A,2024-04-10T00:01:30Z,25.42,
6A,2024-04-10T00:01:45Z,24.94,
6A,2024-04-10T00:02:00Z,24.79,
6A,2024-04-10T00:02:15Z,24.83,
6A,2024-04-10T00:02:30Z,26.02,
6A,2024-04-10T00:02:45Z,25.79,
6A,2024-04-10T00:03:00Z,25.76,
6A,2024-04-10T00:03:15Z,25.76,
6A,2024-04-10T00:03:30Z,25.77,
6A,2024-04-10T00:03:45Z,25.67,
6A,2024-04-10T00:04:00Z,25.72,
6A,2024-04-10T00:04:15Z,26.25,
6A,2024-04-10T00:04:30Z,25.46,
6A,2024-04-10T00:04:45Z,25.410000000000004,
6A,2024-04-10T00:05:00Z,25.71,
6A,2024-04-10T00:05:15Z,25.44,
6A,2024-04-10T00:05:30Z,25.56,
6A,2024-04-10T00:05:45Z,25.55,
6A,2024-04-10T00:06:00Z,25.83,
6A,2024-04-10T00:06:15Z,25.84,
6A,2024-04-10T00:06:30Z,25.89,
6A,2024-04-10T00:06:45Z,25.57,
6A,2024-04-10T00:07:00Z,24.08,
6A,2024-04-10T00:07:15Z,24.12,
6A,2024-04-10T00:07:30Z,24.08,
6A,2024-04-10T00:07:45Z,23.65,
6A,2024-04-10T00:08:00Z,23.61,
6A,2024-04-10T00:08:15Z,24.8,
6A,2024-04-10T00:08:30Z,24.93,
6A,2024-04-10T00:08:45Z,25.1,
6A,2024-04-10T00:09:00Z,25.14,
6A,2024-04-10T00:09:15Z,24.68,
6A,2024-04-10T00:09:30Z,24.53,
6A,2024-04-10T00:09:45Z,25.89,
6A,2024-04-10T00:10:00Z,25.92,
6A,2024-04-10T00:10:15Z,25.44,
6A,2024-04-10T00:10:30Z,25.52,
6A,2024-04-10T00:10:45Z,25.46,
6A,2024-04-10T00:11:00Z,25.48,
6A,2024-04-10T00:11:15Z,25.34,
6A,2024-04-10T00:11:30Z,24.91,
6A,2024-04-10T00:11:45Z,24.84,
6A,2024-04-10T00:12:00Z,24.72,
6A,2024-04-10T00:12:15Z,24.88,
6A,2024-04-10T00:12:30Z,24.82,
6A,2024-04-10T00:12:45Z,24.73,
6A,2024-04-10T00:13:00Z,25.25,
6A,2024-04-10T00:13:15Z,25.27,
6A,2024-04-10T00:13:30Z,25.33,
6A,2024-04-10T00:13:45Z,24.26,
6A,2024-04-10T00:14:00Z,24.17,
6A,2024-04-10T00:14:15Z,23.66,
6A,2024-04-10T00:14:30Z,23.7,
6A,2024-04-10T00:14:45Z,23.65,
6A,2024-04-10T00:15:00Z,23.54,
6A,2024-04-10T00:15:15Z,23.5,
6A,2024-04-10T00:15:30Z,23.49,
6A,2024-04-10T00:15:45Z,23.48,
6A,2024-04-10T00:16:00Z,23.49,
6A,2024-04-10T00:16:15Z,23.56,
6A,2024-04-10T00:16:30Z,23.96,
6A,2024-04-10T00:16:45Z,23.68,
6A,2024-04-10T00:17:00Z,24.64,
6A,2024-04-10T00:17:15Z,24.800000000000004,
6A,2024-04-10T00:17:30Z,25.5,
6A,2024-04-10T00:17:45Z,25.85,
6A,2024-04-10T00:18:00Z,26.59,
6A,2024-04-10T00:18:15Z,25.93,
6A,2024-04-10T00:18:30Z,25.9,
6A,2024-04-10T00:18:45Z,26.47,
6A,2024-04-10T00:19:00Z,26.48,
6A,2024-04-10T00:19:15Z,27.08,
6A,2024-04-10T00:19:30Z,26.56,
6A,2024-04-10T00:19:45Z,25.99,
6A,2024-04-10T00:20:00Z,26.05,
6A,2024-04-10T00:20:15Z,26.18,
6A,2024-04-10T00:20:30Z,25.23,
6A,2024-04-10T00:20:45Z,24.86,
6A,2024-04-10T00:21:00Z,23.74,
6A,2024-04-10T00:21:15Z,23.8,
6A,2024-04-10T00:21:30Z,23.83,
6A,2024-04-10T00:21:45Z,23.78,
6A,2024-04-10T00:22:00Z,23.9,
6A,2024-04-10T00:22:15Z,23.8,
6A,2024-04-10T00:22:30Z,23.85,
6A,2024-04-10T00:22:45Z,23.85,
6A,2024-04-10T00:23:00Z,23.85,
6A,2024-04-10T00:23:15Z,23.86,
6A,2024-04-10T00:23:30Z,23.77,
6A,2024-04-10T00:23:45Z,23.84,
6A,2024-04-10T00:24:00Z,25.01,
6A,2024-04-10T00:24:15Z,25.1,
6A,2024-04-10T00:24:30Z,24.92,
6A,2024-04-10T00:24:45Z,24.99,
6A,2024-04-10T00:25:00Z,25.22,
6A,2024-04-10T00:25:15Z,25.13,
6A,2024-04-10T00:25:30Z,25.12,
6A,2024-04-10T00:25:45Z,25.09,
6A,2024-04-10T00:26:00Z,25.11,
6A,2024-04-10T00:26:15Z,25.11,
6A,2024-04-10T00:26:30Z,25.200000000000003,
6A,2024-04-10T00:26:45Z,25.76,
6A,2024-04-10T00:27:00Z,25.72,
6A,2024-04-10T00:27:15Z,25.68,
6A,2024-04-10T00:27:30Z,25.52,
6A,2024-04-10T00:27:45Z,25.56,
6A,2024-04-10T00:28:00Z,25.03,
6A,2024-04-10T00:28:15Z,24.69,
6A,2024-04-10T00:28:30Z,24.48,
6A,2024-04-10T00:28:45Z,24.85,
6A,2024-04-10T00:29:00Z,24.84,
6A,2024-04-10T00:29:15Z,24.95,
6A,2024-04-10T00:29:30Z,24.98,
6A,2024-04-10T00:29:45Z,24.92,
6A,2024-04-10T00:30:00Z,25.3,
6A,2024-04-10T00:30:15Z,25.21,
6A,2024-04-10T00:30:30Z,24.85,
6A,2024-04-10T00:30:45Z,24.86,
6A,2024-04-10T00:31:00Z,25.94,
6A,2024-04-10T00:31:15Z,25.770000000000003,
6A,2024-04-10T00:31:30Z,25.75,
6A,2024-04-10T00:31:45Z,26.12,
6A,2024-04-10T00:32:00Z,26.15,
6A,2024-04-10T00:32:15Z,26.23,
6A,2024-04-10T00:32:30Z,26.25,
6A,2024-04-10T00:32:45Z,26.16,
6A,2024-04-10T00:33:00Z,26.1,
6A,2024-04-10T00:33:15Z,25.62,
6A,2024-04-10T00:33:30Z,25.57,
6A,2024-04-10T00:33:45Z,25.46,
6A,2024-04-10T00:34:00Z,24.97,
6A,2024-04-10T00:34:15Z,25.38,
6A,2024-04-10T00:34:30Z,25.19,
6A,2024-04-10T00:34:45Z,24.14,
6A,2024-04-10T00:35:00Z,24.1,
6A,2024-04-10T00:35:15Z,24.16,
6A,2024-04-10T00:35:30Z,23.74,
6A,2024-04-10T00:35:45Z,23.73,
6A,2024-04-10T00:36:00Z,23.9,
6A,2024-04-10T00:36:15Z,23.89,
6A,2024-04-10T00:36:30Z,23.86,
6A,2024-04-10T00:36:45Z,23.86,
6A,2024-04-10T00:37:00Z,23.83,
6A,2024-04-10T00:37:15Z,23.82,
6A,2024-04-10T00:37:30Z,23.93,
6A,2024-04-10T00:37:45Z,24.04,
6A,2024-04-10T00:38:00Z,25.130000000000003,
6A,2024-04-10T00:38:15Z,25.6,
6A,2024-04-10T00:38:30Z,25.57,
6A,2024-04-10T00:38:45Z,26.29,
6A,2024-04-10T00:39:00Z,26.12,
6A,2024-04-10T00:39:15Z,25.63,
6A,2024-04-10T00:39:30Z,25.71,
6A,2024-04-10T00:39:45Z,25.72,
6A,2024-04-10T00:40:00Z,25.04,
6A,2024-04-10T00:40:15Z,24.92,
6A,2024-04-10T00:40:30Z,24.82,
6A,2024-04-10T00:40:45Z,24.78,
6A,2024-04-10T00:41:00Z,25.72,
6A,2024-04-10T00:41:15Z,25.74,
6A,2024-04-10T00:41:30Z,25.72,
6A,2024-04-10T00:41:45Z,24.68,
6A,2024-04-10T00:42:00Z,24.56,
6A,2024-04-10T00:42:15Z,24.61,
6A,2024-04-10T00:42:30Z,24.48,
6A,2024-04-10T00:42:45Z,24.42,
6A,2024-04-10T00:43:00Z,24.46,
6A,2024-04-10T00:43:15Z,24.41,
6A,2024-04-10T00:43:30Z,24.98,
6A,2024-04-10T00:43:45Z,24.75,
6A,2024-04-10T00:44:00Z,25.28,
6A,2024-04-10T00:44:15Z,24.8,
6A,2024-04-10T00:44:30Z,24.87,
6A,2024-04-10T00:44:45Z,24.79,
6A,2024-04-10T00:45:00Z,25.74,
6A,2024-04-10T00:45:15Z,25.54,
6A,2024-04-10T00:45:30Z,25.44,
6A,2024-04-10T00:45:45Z,25.43,
6A,2024-04-10T00:46:00Z,24.99,
6A,2024-04-10T00:46:15Z,24.99,
6A,2024-04-10T00:46:30Z,25.43,
6A,2024-04-10T00:46:45Z,25.22,
6A,2024-04-10T00:47:00Z,25.22,
6A,2024-04-10T00:47:15Z,25.25,
6A,2024-04-10T00:47:30Z,25.450000000000003,
6A,2024-04-10T00:47:45Z,25.78,
6A,2024-04-10T00:48:00Z,25.31,
6A,2024-04-10T00:48:15Z,25.42,
6A,2024-04-10T00:48:30Z,25.51,
6A,2024-04-10T00:48:45Z,25.01,
6A,2024-04-10T00:49:00Z,24.95,
6A,2024-04-10T00:49:15Z,25.020000000000003,
6A,2024-04-10T00:49:30Z,25.19,
6A,2024-04-10T00:49:45Z,25.74,
6A,2024-04-10T00:50:00Z,25.71,
6A,2024-04-10T00:50:15Z,24.73,
6A,2024-04-10T00:50:30Z,24.7,
6A,2024-04-10T00:50:45Z,23.99,
6A,2024-04-10T00:51:00Z,23.91,
6A,2024-04-10T00:51:15Z,23.9,
6A,2024-04-10T00:51:30Z,23.98,
6A,2024-04-10T00:51:45Z,23.87,
6A,2024-04-10T00:52:00Z,23.89,
6A,2024-04-10T00:52:15Z,25.14,
6A,2024-04-10T00:52:30Z,25.24,
6A,2024-04-10T00:52:45Z,25.06,
6A,2024-04-10T00:53:00Z,25.17,
