series,timestamp,value,label
11A,2024-02-27T01:25:30Z,15.82,
11A,2024-02-27T01:25:45Z,16.27,
11A,2024-02-27T01:26:00Z,16.12,
11A,2024-02-27T01:26:15Z,16.150000000000002,
11A,2024-02-27T01:26:30Z,15.45,
11A,2024-02-27T01:26:45Z,15.66,
11A,2024-02-27T01:27:00Z,15.61,
11A,2024-02-27T01:27:15Z,15.52,
11A,2024-02-27T01:27:30Z,15.5,
11A,2024-02-27T01:27:45Z,15.54,
11A,2024-02-27T01:28:00Z,15.5,
11A,2024-02-27T01:28:15Z,15.5,
11A,2024-02-27T01:28:30Z,15.45,
11A,2024-02-27T01:28:45Z,15.51,
11A,2024-02-27T01:29:00Z,15.48,
11A,2024-02-27T01:29:15Z,15.49,
11A,2024-02-27T01:29:30Z,15.49,
11A,2024-02-27T01:29:45Z,15.49,
11A,2024-02-27T01:30:00Z,15.03,
11A,2024-02-27T01:30:15Z,15.02,
11A,2024-02-27T01:30:30Z,14.96,
11A,2024-02-27T01:30:45Z,15.439999999999998,
11A,2024-02-27T01:31:00Z,15.41,
11A,2024-02-27T01:31:15Z,15.49,
11A,2024-02-27T01:31:30Z,15.67,
11A,2024-02-27T01:31:45Z,15.65,
11A,2024-02-27T01:32:00Z,18.72,
11A,2024-02-27T01:32:15Z,17.43,
11A,2024-02-27T01:32:30Z,17.32,
11A,2024-02-27T01:32:45Z,17.12,
11A,2024-02-27T01:33:00Z,17.18,
11A,2024-02-27T01:33:15Z,17.34,
11A,2024-02-27T01:33:30Z,17.58,
11A,2024-02-27T01:33:45Z,17.68,
11A,2024-02-27T01:34:00Z,18.26,
11A,2024-02-27T01:34:15Z,17.73,
11A,2024-02-27T01:34:30Z,17.709999999999997,
11A,2024-02-27T01:34:45Z,17.220000000000002,
11A,2024-02-27T01:35:00Z,17.490000000000002,
11A,2024-02-27T01:35:15Z,18.49,
11A,2024-02-27T01:35:30Z,18.37,
11A,2024-02-27T01:35:45Z,18.39,
11A,2024-02-27T01:36:00Z,18.33,
11A,2024-02-27T01:36:15Z,18.49,
11A,2024-02-27T01:36:30Z,18.49,
11A,2024-02-27T01:36:45Z,18.36,
11A,2024-02-27T01:37:00Z,18.39,
11A,2024-02-27T01:37:15Z,18.43,
11A,2024-02-27T01:37:30Z,18.43,
11A,2024-02-27T01:37:45Z,18.4,
11A,2024-02-27T01:38:00Z,18.380000000000003,
11A,2024-02-27T01:38:15Z,18.380000000000003,
11A,2024-02-27T01:38:30Z,18.42,
11A,2024-02-27T01:38:45Z,18.43,
11A,2024-02-27T01:39:00Z,18.49,
11A,2024-02-27T01:39:15Z,18.49,
11A,2024-02-27T01:39:30Z,18.47,
11A,2024-02-27T01:39:45Z,18.49,
11A,2024-02-27T01:40:00Z,18.49,
11A,2024-02-27T01:40:15Z,18.56,
11A,2024-02-27T01:40:30Z,18.51,
11A,2024-02-27T01:40:45Z,18.47,
11A,2024-02-27T01:41:00Z,18.53,
11A,2024-02-27T01:41:15Z,18.48,
11A,2024-02-27T01:41:30Z,18.52,
11A,2024-02-27T01:41:45Z,15.43,
11A,2024-02-27T01:42:01Z,15.28,
11A,2024-02-27T01:42:15Z,15.21,
11A,2024-02-27T01:42:30Z,15.21,
11A,2024-02-27T01:42:45Z,15.2,
11A,2024-02-27T01:43:00Z,15.27,
11A,2024-02-27T01:43:15Z,15.310000000000002,
11A,2024-02-27T01:43:30Z,15.45,
11A,2024-02-27T01:43:45Z,15.24,
11A,2024-02-27T01:44:00Z,15.3,
11A,2024-02-27T01:44:15Z,15.24,
11A,2024-02-27T01:44:30Z,15.38,
11A,2024-02-27T01:44:45Z,15.419999999999998,
11A,2024-02-27T01:45:00Z,15.5,
11A,2024-02-27T01:45:15Z,15.509999999999998,
11A,2024-02-27T01:45:30Z,15.4,
11A,2024-02-27T01:45:45Z,15.419999999999998,
11A,2024-02-27T01:46:00Z,15.44,
11A,2024-02-27T01:46:15Z,16.04,
11A,2024-02-27T01:46:30Z,16.04,
11A,2024-02-27T01:46:45Z,15.98,
11A,2024-02-27T01:47:00Z,15.989999999999998,
11A,2024-02-27T01:47:15Z,15.94,
11A,2024-02-27T01:47:30Z,15.94,
11A,2024-02-27T01:47:45Z,15.989999999999998,
11A,2024-02-27T01:48:00Z,15.28,
11A,2024-02-27T01:48:15Z,15.330000000000002,
11A,2024-02-27T01:48:30Z,15.29,
11A,2024-02-27T01:48:45Z,15.650000000000002,
11A,2024-02-27T01:49:00Z,15.67,
11A,2024-02-27T01:49:15Z,15.72,
11A,2024-02-27T01:49:30Z,15.72,
11A,2024-02-27T01:49:45Z,16.27,
11A,2024-02-27T01:50:00Z,16.34,
11A,2024-02-27T01:50:15Z,19.57,
11A,2024-02-27T01:50:30Z,19.26,
11A,2024-02-27T01:50:45Z,19.2,
11A,2024-02-27T01:51:00Z,18.87,
11A,2024-02-27T01:51:15Z,19.17,
11A,2024-02-27T01:51:30Z,19.11,
11A,2024-02-27T01:51:45Z,18.96,
11A,2024-02-27T01:52:00Z,19.25,
11A,2024-02-27T01:52:15Z,19.130000000000003,
11A,2024-02-27T01:52:30Z,19.09,
11A,2024-02-27T01:52:45Z,18.98,
11A,2024-02-27T01:53:00Z,19.05,
11A,2024-02-27T01:53:15Z,19.15,
11A,2024-02-27T01:53:30Z,19.06,
11A,2024-02-27T01:53:45Z,19.15,
11A,2024-02-27T01:54:00Z,18.630000000000003,
11A,2024-02-27T01:54:15Z,18.62,
11A,2024-02-27T01:54:30Z,18.68,
11A,2024-02-27T01:54:45Z,18.630000000000003,
11A,2024-02-27T01:55:00Z,18.64,
11A,2024-02-27T01:55:15Z,18.72,
11A,2024-02-27T01:55:30Z,18.630000000000003,
11A,2024-02-27T01:55:45Z,18.58,
11A,2024-02-27T01:56:00Z,18.51,
11A,2024-02-27T01:56:15Z,18.25,
11A,2024-02-27T01:56:30Z,18.28,
11A,2024-02-27T01:56:45Z,18.19,
11A,2024-02-27T01:57:00Z,18.14,
11A,2024-02-27T01:57:15Z,18.23,
11A,2024-02-27T01:57:30Z,18.25,
11A,2024-02-27T01:57:45Z,18.19,
11A,2024-02-27T01:58:00Z,18.22,
11A,2024-02-27T01:58:15Z,18.17,
11A,2024-02-27T01:58:30Z,18.18,
11A,2024-02-27T01:58:45Z,18.13,
11A,2024-02-27T01:59:00Z,18.1,
11A,2024-02-27T01:59:15Z,18.24,
11A,2024-02-27T01:59:30Z,18.34,
11A,2024-02-27T01:59:45Z,18.23,
11A,2024-02-27T02:00:00Z,18.41,
11A,2024-02-27T02:00:15Z,15.37,
11A,2024-02-27T02:00:30Z,15.42,
11A,2024-02-27T02:00:45Z,15.45,
11A,2024-02-27T02:01:00Z,15.39,
11A,2024-02-27T02:01:15Z,15.38,
